Date,Adj Close,returns
2017-02-17,4.415,
2017-02-16,4.476,0.01381653454133634
2017-02-15,4.542,0.01474530831099192
2017-02-14,4.577,0.007705856450902718
2017-02-13,4.53,-0.010268734979243983
2017-02-10,4.538,0.001766004415011039
2017-02-09,4.49,-0.010577346848832093
2017-02-08,4.54,0.011135857461024459
2017-02-07,4.624,0.018502202643171723
2017-02-06,4.627,0.0006487889273356648
2017-02-03,4.64,0.0028095958504430305
2017-02-02,4.55,-0.0193965517241379
2017-02-01,4.57,0.004395604395604497
2017-01-31,4.61,0.008752735229759306
2017-01-30,4.643,0.007158351409978193
2017-01-27,4.762,0.025629980615981
2017-01-26,4.617,-0.03044939101217967
2017-01-25,4.618,0.000216590859865786
2017-01-24,4.6530000000000005,0.00757903854482463
2017-01-23,4.596,-0.01225016118633148
2017-01-20,4.65,0.011749347258485698
2017-01-19,4.697,0.010107526881720367
2017-01-18,4.831,0.02852884820097942
2017-01-17,4.832,0.00020699648105970724
2017-01-16,4.918,0.017798013245033176
2017-01-13,4.955,0.007523383489223245
2017-01-12,4.9319999999999995,-0.004641775983854808
2017-01-11,4.915,-0.003446877534468666
2017-01-10,4.938,0.004679552390640831
2017-01-09,4.872,-0.013365735115431316
2017-01-06,4.89,0.003694581280788135
2017-01-05,4.87,-0.004089979550102162
2017-01-04,4.978,0.02217659137576995
2017-01-03,4.94,-0.007633587786259415
2017-01-02,4.853,-0.01761133603238879
2016-12-30,4.8,-0.010921079744487933
2016-12-29,4.824,0.0050000000000000044
2016-12-28,4.823,-0.00020729684908777897
2016-12-27,4.78,-0.008915612689197626
2016-12-26,4.718999999999999,-0.0127615062761508
2016-12-23,4.718999999999999,0.0
2016-12-22,4.717,-0.0004238186056367408
2016-12-21,4.851,0.0284078863684546
2016-12-20,4.9,0.010101010101010178
2016-12-19,4.845,-0.01122448979591849
2016-12-16,4.888,0.00887512899896804
2016-12-15,4.921,0.006751227495908421
2016-12-14,4.864,-0.01158301158301166
2016-12-13,4.95,0.01768092105263164
2016-12-12,4.912,-0.007676767676767728
2016-12-09,4.66,-0.05130293159609116
2016-12-08,4.57,-0.019313304721030013
2016-12-07,4.46,-0.02407002188183814
2016-12-06,4.468,0.001793721973094172
2016-12-05,4.535,0.014995523724261453
2016-12-02,4.5,-0.007717750826901905
2016-12-01,4.504,0.000888888888888791
